name, correct, per
satellite_reason0.6,721,0.820250284414107
satellite_reason0.6,729,0.8293515358361775
satellite_reason0.6,742,0.8441410693970421
satellite_reason0.6,762,0.8668941979522184
satellite_reason0.6,730,0.8304891922639362
satellite_reason0.6,725,0.8248009101251422
satellite_reason0.6,743,0.8452787258248009
satellite_reason0.6,764,0.8691695108077361
satellite_reason0.6,690,0.7849829351535836
satellite_reason0.6,754,0.8577929465301479
satellite_reason0.8,765,0.8703071672354948
satellite_reason0.8,772,0.8782707622298066
satellite_reason0.8,745,0.8475540386803185
satellite_reason0.8,764,0.8691695108077361
satellite_reason0.8,750,0.8532423208191127
satellite_reason0.8,738,0.8395904436860068
satellite_reason0.8,776,0.8828213879408419
satellite_reason0.8,780,0.8873720136518771
satellite_reason0.8,774,0.8805460750853242
satellite_reason0.8,768,0.8737201365187713
shuttle_reason0.2,5985,0.6564659427443238
shuttle_reason0.2,5897,0.6468136448393111
shuttle_reason0.2,6034,0.6618405177141604
shuttle_reason0.2,5872,0.6440715147526599
shuttle_reason0.2,6131,0.6724799824503674
shuttle_reason0.2,6037,0.6621695733245585
shuttle_reason0.2,5935,0.6509816825710212
shuttle_reason0.2,5968,0.6546012942854009
shuttle_reason0.2,5938,0.6513107381814194
shuttle_reason0.2,6151,0.6746736865196885
shuttle_reason0.4,6046,0.663156740155753
shuttle_reason0.4,6033,0.6617308325106943
shuttle_reason0.4,5986,0.6565756279477899
shuttle_reason0.4,6093,0.6683119447186574
shuttle_reason0.4,5972,0.6550400350992651
shuttle_reason0.4,6026,0.6609630360864319
shuttle_reason0.4,6031,0.6615114621037622
shuttle_reason0.4,6051,0.6637051661730833
shuttle_reason0.4,6024,0.6607436656794998
shuttle_reason0.4,6010,0.6592080728309752
shuttle_reason0.6,6031,0.6615114621037622
shuttle_reason0.6,6052,0.6638148513765493
shuttle_reason0.6,6068,0.6655698146320062
shuttle_reason0.6,6103,0.669408796753318
shuttle_reason0.6,6104,0.669518481956784
shuttle_reason0.6,6065,0.665240759021608
shuttle_reason0.6,5955,0.6531753866403422
shuttle_reason0.6,6095,0.6685313151255896
shuttle_reason0.6,5966,0.6543819238784688
shuttle_reason0.6,6151,0.6746736865196885
shuttle_reason0.8,6103,0.669408796753318
shuttle_reason0.8,6136,0.6730284084676977
shuttle_reason0.8,6144,0.6739058900954261
shuttle_reason0.8,6230,0.6833388175935067
shuttle_reason0.8,6108,0.6699572227706483
shuttle_reason0.8,5959,0.6536141274542064
shuttle_reason0.8,6144,0.6739058900954261
shuttle_reason0.8,6045,0.6630470549522869
shuttle_reason0.8,6080,0.6668860370735987
shuttle_reason0.8,6041,0.6626083141384227
vowels_reason0.2,281,1.0
vowels_reason0.2,280,0.99644128113879
vowels_reason0.2,280,0.99644128113879
vowels_reason0.2,281,1.0
vowels_reason0.2,279,0.9928825622775801
vowels_reason0.2,277,0.9857651245551602
vowels_reason0.2,279,0.9928825622775801
vowels_reason0.2,281,1.0
vowels_reason0.2,281,1.0
vowels_reason0.2,279,0.9928825622775801
vowels_reason0.4,281,1.0
vowels_reason0.4,281,1.0
vowels_reason0.4,281,1.0
vowels_reason0.4,281,1.0
