name,count,accuracy
shuttle_reason0.8,83,0.009103872
shuttle_reason0.8,83,0.009103872
shuttle_reason0.8,83,0.009103872
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.2,17,0.060498221
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.4,42,0.149466192
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.6,59,0.209964413
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
vowels_reason0.8,50,0.177935943
