name, correct, per,,
satellite_reason0.8,853,0.970420933,,
satellite_reason0.8,849,0.965870307,,
satellite_reason0.8,856,0.973833902,,
shuttle_reason0.2,9101,0.998245037,0.99747724,0.00064705
shuttle_reason0.2,9088,0.996819129,,
shuttle_reason0.2,9090,0.9970385,,
shuttle_reason0.2,9099,0.998025666,,
shuttle_reason0.2,9090,0.9970385,,
shuttle_reason0.2,9095,0.997586926,,
shuttle_reason0.2,9096,0.997696611,,
shuttle_reason0.2,9086,0.996599759,,
shuttle_reason0.2,9090,0.9970385,,
shuttle_reason0.2,9105,0.998683778,,
shuttle_reason0.4,9100,0.998135352,0.998124383,0.000361961
shuttle_reason0.4,9096,0.997696611,,
shuttle_reason0.4,9101,0.998245037,,
shuttle_reason0.4,9104,0.998574092,,
shuttle_reason0.4,9094,0.99747724,,
shuttle_reason0.4,9104,0.998574092,,
shuttle_reason0.4,9102,0.998354722,,
shuttle_reason0.4,9096,0.997696611,,
shuttle_reason0.4,9102,0.998354722,,
shuttle_reason0.4,9100,0.998135352,,
shuttle_reason0.6,9103,0.998464407,0.998453439,0.000275089
shuttle_reason0.6,9103,0.998464407,,
shuttle_reason0.6,9101,0.998245037,,
shuttle_reason0.6,9098,0.997915981,,
shuttle_reason0.6,9105,0.998683778,,
shuttle_reason0.6,9102,0.998354722,,
shuttle_reason0.6,9101,0.998245037,,
shuttle_reason0.6,9106,0.998793463,,
shuttle_reason0.6,9107,0.998903148,,
shuttle_reason0.6,9103,0.998464407,,
shuttle_reason0.8,9100,0.998135352,0.998398596,0.000255828
shuttle_reason0.8,9105,0.998683778,,
shuttle_reason0.8,9104,0.998574092,,
shuttle_reason0.8,9105,0.998683778,,
shuttle_reason0.8,9102,0.998354722,,
shuttle_reason0.8,9103,0.998464407,,
shuttle_reason0.8,9100,0.998135352,,
shuttle_reason0.8,9098,0.997915981,,
shuttle_reason0.8,9102,0.998354722,,
shuttle_reason0.8,9105,0.998683778,,
vowels_reason0.2,281,1,0.999288256,0.001423488
vowels_reason0.2,281,1,,
vowels_reason0.2,281,1,,
vowels_reason0.2,281,1,,
vowels_reason0.2,281,1,,
vowels_reason0.2,281,1,,
vowels_reason0.2,281,1,,
vowels_reason0.2,280,0.996441281,,
vowels_reason0.2,280,0.996441281,,
vowels_reason0.2,281,1,,
vowels_reason0.4,281,1,0.999644128,0.001067616
vowels_reason0.4,280,0.996441281,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.4,281,1,,
vowels_reason0.6,281,1,1,0
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.6,281,1,,
vowels_reason0.8,281,1,1,0
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
vowels_reason0.8,281,1,,
